ACCOUNT_ID,USERNAME,PASSWORD,ROLE,EMPLOYEE_ID,CUSTOMER_ID
A001,achang,123,Quản lý chi nhánh,E000014,
A002,greenwilliam,123,Quản lý chi nhánh,E000013,
A003,thull,123,Quản lý chi nhánh,E000007,
A004,nhoward,123,Quản lý chi nhánh,E000002,
A005,juancampos,123,Quản lý chi nhánh,E000004,
A006,vanessa89,123,Quản lý chi nhánh,E000005,
A007,kyleblair,123,Quản lý chi nhánh,E000001,
A008,thomas15,123,Quản lý chi nhánh,E000015,
A009,ostewart,123,Quản lý chi nhánh,E000008,
A010,tammywoods,123,Quản lý chi nhánh,E000011,
A011,bryan80,123,Quản lý chi nhánh,E000009,
A012,cortezraymond,123,Quản lý chi nhánh,E000010,
A013,salazarmaria,123,Quản lý chi nhánh,E000003,
A014,john51,123,Quản lý chi nhánh,E000012,
A015,sallywalker,123,Quản lý chi nhánh,E000006,
A016,lindawest,123,Nhân viên,E007330,
A017,kaisernancy,123,Nhân viên,E006957,
A018,jrodriguez,123,Nhân viên,E010545,
A019,jasmine85,123,Nhân viên,E002139,
A020,tamaramorrison,123,Nhân viên,E005115,
A021,sean96,123,Nhân viên,E007493,
A022,barbara42,123,Nhân viên,E003431,
A023,lorijohnson,123,Nhân viên,E006811,
A024,thomas12,123,Nhân viên,E008268,
A025,sandrakirby,123,Nhân viên,E003132,
A026,hmassey,123,Nhân viên,E004160,
A027,aimee33,123,Nhân viên,E011943,
A028,criley,123,Nhân viên,E013070,
A029,skeller,123,Nhân viên,E002261,
A030,christopher91,123,Nhân viên,E005982,
A031,vmatthews,123,Nhân viên,E006799,
A032,johndennis,123,Nhân viên,E011512,
A033,thorntonnathan,123,Nhân viên,E003393,
A034,marvincabrera,123,Nhân viên,E007303,
A035,loganmelissa,123,Nhân viên,E003308,
A036,brandonberry,123,Nhân viên,E009837,
A037,johnsoncynthia,123,Nhân viên,E013685,
A038,myersmitchell,123,Nhân viên,E000469,
A039,johnsonandrew,123,Nhân viên,E010276,
A040,jennifermendoza,123,Nhân viên,E003835,
A041,gilesandrew,123,Nhân viên,E006685,
A042,qoliver,123,Nhân viên,E008999,
A043,walkerdeborah,123,Nhân viên,E002316,
A044,ryan08,123,Nhân viên,E005447,
A045,gwilliams,123,Nhân viên,E003291,
A046,wgonzalez,123,Nhân viên,E013581,
A047,kmassey,123,Nhân viên,E005498,
A048,heidiharris,123,Nhân viên,E003591,
A049,kramereric,123,Nhân viên,E005896,
A050,matthewking,123,Nhân viên,E011443,
A051,awade,123,Nhân viên,E014870,
A052,kmaldonado,123,Nhân viên,E014791,
A053,deborah64,123,Nhân viên,E001812,
A054,annsmith,123,Nhân viên,E005190,
A055,rogersbrandon,123,Nhân viên,E006275,
A056,dennis75,123,Nhân viên,E012350,
A057,emily99,123,Nhân viên,E012271,
A058,jenniferhughes,123,Nhân viên,E001468,
A059,fpoole,123,Nhân viên,E001819,
A060,wheelerholly,123,Nhân viên,E006006,
A061,johnwalsh,123,Nhân viên,E002975,
A062,rpage,123,Nhân viên,E008170,
A063,sjohnson,123,Nhân viên,E010209,
A064,tbarton,123,Nhân viên,E004057,
A065,martincaleb,123,Nhân viên,E003405,
A066,seandyer,123,Nhân viên,E013228,
A067,hensontroy,123,Nhân viên,E000606,
A068,mary06,123,Nhân viên,E010078,
A069,amymccarty,123,Nhân viên,E006880,
A070,monroedavid,123,Nhân viên,E001594,
A071,moraleserika,123,Nhân viên,E000593,
A072,aaron00,123,Nhân viên,E013279,
A073,leecharlene,123,Nhân viên,E001170,
A074,morganramirez,123,Nhân viên,E003485,
A075,craignash,123,Nhân viên,E008845,
A076,bburton,123,Nhân viên,E000511,
A077,robin14,123,Nhân viên,E006071,
A078,desireeroth,123,Nhân viên,E003983,
A079,darin24,123,Nhân viên,E001236,
A080,williamsjamie,123,Nhân viên,E009655,
A081,angela59,123,Nhân viên,E002612,
A082,mathissusan,123,Nhân viên,E008730,
A083,djoseph,123,Nhân viên,E000074,
A084,iwatson,123,Nhân viên,E009540,
A085,jaredmatthews,123,Nhân viên,E002527,
A086,taylorjoseph,123,Nhân viên,E004320,
A087,kristine15,123,Nhân viên,E008444,
A088,williamsfrank,123,Nhân viên,E012522,
A089,michael82,123,Nhân viên,E008501,
A090,danny30,123,Nhân viên,E012491,
A091,hayden81,123,Nhân viên,E007950,
A092,richard54,123,Nhân viên,E010683,
A093,zwells,123,Nhân viên,E000057,
A094,david17,123,Nhân viên,E004831,
A095,vjohnson,123,Nhân viên,E004557,
A096,samanthasims,123,Nhân viên,E000949,
A097,odrake,123,Nhân viên,E014128,
A098,joneschristopher,123,Nhân viên,E006296,
A099,brucesmith,123,Nhân viên,E000539,
A100,shawkins,123,Nhân viên,E012651,
A101,ymora,123,Nhân viên,E012943,
A102,rodneyrichardson,123,Nhân viên,E001728,
A103,brenda26,123,Nhân viên,E002973,
A104,michaelbrown,123,Nhân viên,E004630,
A105,leachshannon,123,Nhân viên,E003294,
A106,davidsanders,123,Nhân viên,E003625,
A107,danielleshea,123,Nhân viên,E011450,
A108,cindygarcia,123,Nhân viên,E004163,
A109,igray,123,Nhân viên,E007470,
A110,danielcarlson,123,Nhân viên,E002361,
A111,zhernandez,123,Nhân viên,E004282,
A112,frich,123,Nhân viên,E006123,
A113,martha73,123,Nhân viên,E009332,
A114,alecthornton,123,Nhân viên,E000964,
A115,lisa08,123,Nhân viên,E007885,
A116,nancymorrison,123,Nhân viên,E007410,
A117,meganaguilar,123,Nhân viên,E012917,
A118,fjones,123,Nhân viên,E001911,
A119,jonesdavid,123,Nhân viên,E000802,
A120,alexis75,123,Nhân viên,E010557,
A121,laurenmelton,123,Nhân viên,E003512,
A122,gschmitt,123,Nhân viên,E011105,
A123,gsantana,123,Nhân viên,E001382,
A124,berryerika,123,Nhân viên,E001551,
A125,burgessrebecca,123,Nhân viên,E013835,
A126,keithsantana,123,Nhân viên,E012728,
A127,epetersen,123,Nhân viên,E010725,
A128,olawson,123,Nhân viên,E002337,
A129,sandovalaaron,123,Nhân viên,E000796,
A130,kevinhudson,123,Nhân viên,E006551,
A131,cameron44,123,Nhân viên,E014507,
A132,ycruz,123,Nhân viên,E000240,
A133,martinselena,123,Nhân viên,E003818,
A134,justingreer,123,Nhân viên,E007779,
A135,mcmahontimothy,123,Nhân viên,E009801,
A136,travisboyer,123,Nhân viên,E008430,
A137,nunezedward,123,Nhân viên,E012515,
A138,robert97,123,Nhân viên,E015050,
A139,gellis,123,Nhân viên,E008921,
A140,bosborne,123,Nhân viên,E014125,
A141,georgedavid,123,Nhân viên,E004005,
A142,daniel85,123,Nhân viên,E001135,
A143,patrickfrank,123,Nhân viên,E010408,
A144,drodriguez,123,Nhân viên,E011025,
A145,vmendez,123,Nhân viên,E012490,
A146,montesjennifer,123,Nhân viên,E008505,
A147,kristina26,123,Nhân viên,E013091,
A148,sabrina18,123,Nhân viên,E005598,
A149,benjaminmyers,123,Nhân viên,E003629,
A150,katherine75,123,Nhân viên,E009637,
A151,huberrachel,123,Nhân viên,E002019,
A152,tuckerrachel,123,Nhân viên,E006039,
A153,jerryfrank,123,Nhân viên,E000918,
A154,hhunter,123,Nhân viên,E008344,
A155,ronaldknight,123,Nhân viên,E007315,
A156,wallsrobert,123,Nhân viên,E004261,
A157,perryeric,123,Nhân viên,E001350,
A158,moodyryan,123,Nhân viên,E002451,
A159,ujohnson,123,Nhân viên,E007145,
A160,christian11,123,Nhân viên,E000330,
A161,heather55,123,Nhân viên,E012041,
A162,alejandromccann,123,Nhân viên,E011874,
A163,chad23,123,Nhân viên,E007336,
A164,harrisemily,123,Nhân viên,E003458,
A165,adkinskelly,123,Nhân viên,E009407,
A166,cantujesse,123,Nhân viên,E005138,
A167,jacobrodriguez,123,Nhân viên,E014970,
A168,jasmine42,123,Nhân viên,E001738,
A169,levymichael,123,Nhân viên,E007592,
A170,swoodward,123,Nhân viên,E008960,
A171,jack11,123,Nhân viên,E010724,
A172,eric22,123,Nhân viên,E012211,
A173,lesliesanchez,123,Nhân viên,E002752,
A174,kellybarnes,123,Nhân viên,E002373,
A175,callahancarolyn,123,Nhân viên,E009486,
A176,emiller,123,Nhân viên,E000505,
A177,robertpierce,123,Nhân viên,E005767,
A178,brittanyevans,123,Nhân viên,E002054,
A179,christopher75,123,Nhân viên,E005163,
A180,bennettalan,123,Nhân viên,E013051,
A181,scott54,123,Nhân viên,E007219,
A182,ldavis,123,Nhân viên,E002519,
A183,hillangela,123,Nhân viên,E000810,
A184,lauragriffin,123,Nhân viên,E002178,
A185,alopez,123,Nhân viên,E001298,
A186,dthompson,123,Nhân viên,E014551,
A187,sharon25,123,Nhân viên,E001710,
A188,fwelch,123,Nhân viên,E011897,
A189,sfischer,123,Nhân viên,E004811,
A190,greershane,123,Nhân viên,E009149,
A191,tsmith,123,Nhân viên,E014864,
A192,mackcristina,123,Nhân viên,E004144,
A193,rogerpotter,123,Nhân viên,E010216,
A194,gregorykathleen,123,Nhân viên,E010473,
A195,amysullivan,123,Nhân viên,E013457,
