DEPARTMENT_ID,DEPARTMENT_NAME,BRANCH_ID
D001,Quan ly,B001
D002,Thu ngan,B001
D003,Le tan,B001
D004,Phuc vu ban,B001
D005,Dau bep,B001
D006,Phu bep,B001
D007,Nhan vien giao hang,B001
D008,Quan tri he thong,B001
D009,Quan ly,B002
D010,Thu ngan,B002
D011,Le tan,B002
D012,Phuc vu ban,B002
D013,Dau bep,B002
D014,Phu bep,B002
D015,Nhan vien giao hang,B002
D016,Quan tri he thong,B002
D017,Quan ly,B003
D018,Thu ngan,B003
D019,Le tan,B003
D020,Phuc vu ban,B003
D021,Dau bep,B003
D022,Phu bep,B003
D023,Nhan vien giao hang,B003
D024,Quan tri he thong,B003
D025,Quan ly,B004
D026,Thu ngan,B004
D027,Le tan,B004
D028,Phuc vu ban,B004
D029,Dau bep,B004
D030,Phu bep,B004
D031,Nhan vien giao hang,B004
D032,Quan tri he thong,B004
D033,Quan ly,B005
D034,Thu ngan,B005
D035,Le tan,B005
D036,Phuc vu ban,B005
D037,Dau bep,B005
D038,Phu bep,B005
D039,Nhan vien giao hang,B005
D040,Quan tri he thong,B005
D041,Quan ly,B006
D042,Thu ngan,B006
D043,Le tan,B006
D044,Phuc vu ban,B006
D045,Dau bep,B006
D046,Phu bep,B006
D047,Nhan vien giao hang,B006
D048,Quan tri he thong,B006
D049,Quan ly,B007
D050,Thu ngan,B007
D051,Le tan,B007
D052,Phuc vu ban,B007
D053,Dau bep,B007
D054,Phu bep,B007
D055,Nhan vien giao hang,B007
D056,Quan tri he thong,B007
D057,Quan ly,B008
D058,Thu ngan,B008
D059,Le tan,B008
D060,Phuc vu ban,B008
D061,Dau bep,B008
D062,Phu bep,B008
D063,Nhan vien giao hang,B008
D064,Quan tri he thong,B008
D065,Quan ly,B009
D066,Thu ngan,B009
D067,Le tan,B009
D068,Phuc vu ban,B009
D069,Dau bep,B009
D070,Phu bep,B009
D071,Nhan vien giao hang,B009
D072,Quan tri he thong,B009
D073,Quan ly,B010
D074,Thu ngan,B010
D075,Le tan,B010
D076,Phuc vu ban,B010
D077,Dau bep,B010
D078,Phu bep,B010
D079,Nhan vien giao hang,B010
D080,Quan tri he thong,B010
D081,Quan ly,B011
D082,Thu ngan,B011
D083,Le tan,B011
D084,Phuc vu ban,B011
D085,Dau bep,B011
D086,Phu bep,B011
D087,Nhan vien giao hang,B011
D088,Quan tri he thong,B011
D089,Quan ly,B012
D090,Thu ngan,B012
D091,Le tan,B012
D092,Phuc vu ban,B012
D093,Dau bep,B012
D094,Phu bep,B012
D095,Nhan vien giao hang,B012
D096,Quan tri he thong,B012
D097,Quan ly,B013
D098,Thu ngan,B013
D099,Le tan,B013
D100,Phuc vu ban,B013
D101,Dau bep,B013
D102,Phu bep,B013
D103,Nhan vien giao hang,B013
D104,Quan tri he thong,B013
D105,Quan ly,B014
D106,Thu ngan,B014
D107,Le tan,B014
D108,Phuc vu ban,B014
D109,Dau bep,B014
D110,Phu bep,B014
D111,Nhan vien giao hang,B014
D112,Quan tri he thong,B014
D113,Quan ly,B015
D114,Thu ngan,B015
D115,Le tan,B015
D116,Phuc vu ban,B015
D117,Dau bep,B015
D118,Phu bep,B015
D119,Nhan vien giao hang,B015
D120,Quan tri he thong,B015
