EMPLOYEE_ID,FULL_NAME,DATE_OF_BIRTH,GENDER,SALARY,START_DATE_WORK,TERMINATION_DATE,DEPARTMENT_ID
E000001,Thành Đức Bùi,1991-01-03,Nam,10752667,2010-08-23,,D024
E000002,Cô Yến Phạm,1998-04-16,Nữ,14207841,2020-11-02,,D083
E000003,Bà Chi Trần,1983-10-17,Nam,14552387,2006-11-25,,D059
E000004,Khoa Mai Mai,2001-08-18,Nữ,24562707,2024-01-08,,D097
E000005,Thảo Phạm,1991-04-30,Nam,37888666,2021-08-10,2022-11-12,D095
E000006,Cô Mai Vũ,1994-01-18,Nữ,31183332,2029-02-20,,D075
E000007,Dương Trần,1982-09-08,Nam,32559595,2008-06-14,,D016
E000008,Chị Hương Đặng,2000-01-17,Nữ,38780953,2033-03-26,,D096
E000009,Ông Minh Vũ,1980-05-17,Nữ,24631859,2021-04-22,2023-08-11,D008
E000010,Anh Dũng Lê,1989-11-14,Nữ,24728104,2027-07-12,,D062
E000011,Anh Trung Nguyễn,2003-09-08,Nữ,24545233,2037-06-03,,D100
E000012,Bà Kim Bùi,1986-04-28,Nữ,24728104,2005-11-16,,D062
E000013,Trọng Lê,1981-03-16,Nữ,37851000,2010-06-09,2023-08-11,D068
E000014,Anh Châu Dương,1988-11-04,Nữ,40000000,2032-06-11,,D014
E000015,Lâm Quang Dương,1980-01-14,Nữ,40000000,2013-02-11,2023-08-25,D028
E000016,Nhật Trí Dương,2006-03-19,Nam,25312896,2034-08-14,,D032
E000017,Quý cô Hương Nguyễn,2005-01-03,Nam,17325449,2026-12-13,,D101
E000018,Trọng Quang Dương,1998-07-31,Nam,40000000,2022-12-17,,D070
E000019,Quang Vũ,1998-06-22,Nữ,19262519,2046-02-18,,D006
E000020,Chị Mai Hoàng,1998-06-06,Nữ,20950077,2026-02-17,,D022
E000021,Quang Vũ,2002-09-23,Nam,40000000,2035-11-15,,D035
E000022,Anh Tú Trần,1991-06-09,Nam,31183332,2027-08-24,,D075
E000023,Phương Đức Nguyễn,1991-06-12,Nữ,25852248,2041-03-21,,D026
E000024,Nam Mai Bảo Lê,1998-09-17,Nữ,33351309,2028-06-24,,D046
E000025,Cô Lan Vũ,2001-12-17,Nam,26704750,2046-06-19,,D088
E000026,Bảo Hoàng Dương,1998-05-08,Nam,35346307,2035-10-16,,D017
E000027,Khoa Hoàng,1992-12-08,Nam,10269551,2021-11-08,2035-02-08,D030
E000028,Thành Đức Đặng,2000-11-21,Nam,27970033,2049-05-24,,D072
E000029,Thành Hoàng Đặng,2003-12-01,Nữ,40000000,2022-08-24,2034-02-08,D105
E000030,Chị Hạnh Phạm,1993-07-08,Nam,23060627,2013-04-14,2038-10-13,D074
E000031,Anh Lê,2006-01-17,Nữ,40000000,2032-06-27,2046-10-12,D035
E000032,Ông Bảo Nguyễn,1984-09-25,Nam,37082399,2016-01-10,,D099
E000033,Bà Phương Đặng,1983-06-10,Nữ,27247584,2012-12-03,,D080
E000034,Hà Mai Bảo Lê,1994-01-01,Nữ,26406215,2033-05-22,2053-09-14,D054
E000035,Khoa Đức Vũ,1997-01-26,Nữ,24562707,2030-03-15,,D097
E000036,Quý cô Kim Trần,1992-01-27,Nam,21560943,2029-08-07,2049-07-30,D086
E000037,Kim Đức Lê,1978-12-25,Nữ,40000000,1999-07-05,,D035
E000038,Lâm Văn Mai,1999-07-06,Nữ,19262519,2028-08-14,,D006
E000039,Bà Duyên Phạm,1988-12-13,Nữ,31183332,2029-01-25,2052-04-26,D075
E000040,Hoàng Lê,1991-12-07,Nữ,36093326,2016-10-10,,D037
E000041,Chị Vi Vũ,1992-08-13,Nam,26643843,2018-11-12,,D020
E000042,Tú Vũ,1994-12-22,Nam,19300443,2037-01-17,2056-08-11,D052
E000043,Cô Lâm Nguyễn,1979-09-04,Nam,29469380,2010-10-12,2017-12-13,D103
E000044,Hải Phú Mai,1982-10-12,Nam,32559595,2019-07-07,,D016
E000045,An Bùi,1981-12-08,Nữ,18533053,2004-07-20,,D104
E000046,Bảo Quang Dương,1988-03-28,Nam,14552387,2011-02-22,,D059
E000047,Cô Linh Dương,1993-04-22,Nữ,11416012,2034-05-10,2042-01-27,D041
E000048,Vũ Thế Mai,1979-08-17,Nữ,27723417,2006-02-25,,D001
E000049,Ông Nam Nguyễn,2004-06-07,Nữ,40000000,2044-04-29,,D035
E000050,Tú Trần,2002-05-22,Nam,32983171,2033-05-19,,D019
E000051,Bảo Văn Đặng,1996-08-12,Nữ,34587418,2036-02-17,,D010
E000052,Trọng Bùi,1981-10-09,Nữ,26643843,2007-05-28,,D020
E000053,Chị Ánh Mai,1982-04-06,Nữ,20267754,2023-03-11,,D013
E000054,Châu Phạm,1996-06-13,Nam,16211196,2029-08-10,,D015
E000055,Chị Hải Lê,1988-07-06,Nam,24562707,2008-01-19,2015-11-17,D097
E000056,Phương Mai Phạm,1998-01-10,Nữ,31817866,2035-11-07,,D003
E000057,Vân Vũ,1990-05-31,Nữ,35346307,2008-09-16,,D017
E000058,Chị Linh Nguyễn,1985-07-17,Nam,10563918,2018-03-07,,D012
E000059,Lan Nguyễn,1994-09-25,Nữ,24545233,2031-05-16,,D100
E000060,Quang Tấn Đặng,1999-02-07,Nam,24571598,2041-03-29,2065-07-14,D087
E000061,Hoàng Quang Vũ,1997-04-07,Nam,34729139,2021-11-05,,D027
E000062,Hương Hoàng,2000-04-28,Nam,20267754,2037-08-30,,D013
E000063,Anh Mai Nguyễn,1987-12-27,Nữ,26064367,2037-01-28,,D040
E000064,Hưng Dương,1982-10-23,Nữ,19262519,2000-11-02,,D006
E000065,Thành Đức Mai,1982-02-04,Nữ,12462132,2015-10-07,,D038
