EMPLOYEE_ID,FULL_NAME,DATE_OF_BIRTH,GENDER,SALARY,START_DATE,TERMINATION_DATE,DEPARTMENT_ID
E000001,Le Hai Linh,1998-08-11,Nu,15000000,2021-06-26,,D001
E000002,Pham Hai Van,1986-12-14,Nu,20000000,2017-03-23,,D002
E000003,Hoang Thuy Thanh,1984-09-27,Nam,20000000,2015-04-13,,D002
E000004,Tran Dinh Duc,1994-07-22,Nam,20000000,2018-02-17,2022-11-18,D002
E000005,Tran Huu Duc,1998-02-19,Nam,20000000,2016-12-25,,D002
E000006,Bui Huu Thanh,1976-07-06,Nu,20000000,2017-12-09,,D002
E000007,Nguyen Khoa Linh,1994-06-27,Nu,20000000,2017-01-13,2020-07-28,D002
E000008,Pham Hai Van,1988-05-07,Nu,20000000,2019-08-25,2020-09-26,D002
E000009,Bui Thuy Minh,1989-11-23,Nam,20000000,2022-07-28,2022-09-01,D002
E000010,Hoang Dinh Thi,1990-09-15,Nam,20000000,2018-01-02,,D002
E000011,Pham Khoa Anh,1986-07-03,Nu,20000000,2015-08-20,,D002
E000012,Pham Huu Thi,1987-02-21,Nam,20000000,2016-01-02,,D002
E000013,Le Thu Quang,1973-11-21,Nam,20000000,2019-10-28,2021-06-17,D002
E000014,Le Hoai Thi,1984-08-04,Nu,20000000,2021-12-02,,D002
E000015,Bui Dinh Linh,1982-11-01,Nam,20000000,2016-12-10,,D002
E000016,Dang Hai Van,1970-01-01,Nu,20000000,2018-10-04,,D002
E000017,Le Khoa Duc,1975-03-02,Nam,20000000,2015-09-03,2020-01-28,D002
E000018,Le Dinh Linh,1993-01-22,Nu,20000000,2020-04-06,2021-07-13,D002
E000019,Pham Khoa Anh,1988-08-17,Nu,20000000,2017-08-21,,D002
E000020,Hoang Hoai Thanh,2000-10-14,Nu,20000000,2015-01-10,,D002
E000021,Vu Hoai Duc,1990-08-03,Nu,20000000,2016-12-06,2016-12-07,D002
E000022,Le Dinh Minh,1986-10-28,Nam,8000000,2017-11-28,2023-11-24,D003
E000023,Pham Hoai Van,1994-01-20,Nam,8000000,2020-11-22,,D003
E000024,Vu Hai Duc,2000-08-06,Nam,8000000,2021-12-13,2021-12-14,D003
E000025,Bui Ngoc Anh,1999-09-13,Nu,8000000,2017-09-15,2023-02-26,D003
E000026,Pham Hoai Duc,1974-03-15,Nam,8000000,2022-08-22,2022-11-16,D003
E000027,Hoang Hai Thi,1999-04-04,Nam,8000000,2021-05-22,2022-04-24,D003
E000028,Nguyen Khoa Thanh,1995-02-18,Nam,8000000,2019-01-04,2019-07-14,D003
E000029,Hoang Thuy Quang,1991-06-06,Nam,8000000,2019-08-06,,D003
E000030,Vu Khoa Van,1996-12-02,Nam,8000000,2015-11-28,2021-02-18,D003
E000031,Bui Hai Thanh,1988-09-10,Nu,8000000,2015-06-28,,D003
E000032,Tran Dinh Thanh,1999-03-14,Nam,17000000,2019-03-14,,D004
E000033,Le Khoa Duc,1973-08-08,Nu,17000000,2015-10-04,,D004
E000034,Nguyen Ngoc Minh,1982-09-25,Nu,17000000,2019-02-23,2023-05-13,D004
E000035,Nguyen Dinh Duc,1980-07-20,Nam,17000000,2019-01-07,2023-12-24,D004
E000036,Nguyen Ngoc Quang,1997-05-20,Nam,17000000,2019-04-25,,D004
E000037,Tran Thuy Anh,1990-11-04,Nam,17000000,2017-01-13,2021-03-06,D004
E000038,Bui Thuy Linh,1995-06-08,Nam,17000000,2018-12-27,2021-02-02,D004
E000039,Hoang Hoai Duc,1984-08-18,Nu,17000000,2018-12-02,2021-03-11,D004
E000040,Hoang Thu Duc,1991-05-12,Nu,17000000,2015-10-23,,D004
E000041,Pham Huu Anh,1981-07-04,Nam,17000000,2021-09-15,2023-09-13,D004
E000042,Vu Hoai Thanh,1978-02-23,Nam,17000000,2021-02-22,2021-09-22,D004
E000043,Vu Thu Van,1992-06-06,Nu,17000000,2022-09-14,2023-07-20,D004
E000044,Tran Thu Minh,1982-07-26,Nam,17000000,2019-08-23,2019-10-09,D004
E000045,Hoang Dinh Thi,1995-05-21,Nu,17000000,2019-10-06,2020-08-17,D004
E000046,Hoang Huu Linh,1982-04-09,Nam,17000000,2017-02-11,,D004
E000047,Vu Hoai Van,1982-08-06,Nam,17000000,2021-02-28,2023-04-18,D004
E000048,Nguyen Dinh Minh,1971-03-14,Nam,17000000,2018-10-28,2019-07-18,D004
E000049,Vu Dinh Van,1987-02-16,Nu,11000000,2017-11-24,,D005
E000050,Hoang Khoa Van,1983-01-04,Nam,11000000,2016-12-02,,D005
E000051,Le Khoa Quang,1997-12-26,Nu,11000000,2019-09-25,,D005
E000052,Dang Thuy Thi,1988-04-25,Nu,11000000,2021-12-01,,D005
E000053,Nguyen Ngoc Van,1984-07-02,Nam,11000000,2020-09-15,,D005
